id,CK_7,CK_14,CK_24,0.5N_5,0.5N_10,0.5N_15,1N_6,1N_9,1N_13,0.5SS_4,0.5SS_8,0.5SS_12,1SS_2,1SS_20,1SS_22,2SS_1,2SS_17,2SS_21,4SS_11,4SS_16,4SS_19,1CM_3,1CM_8,1CM_23
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia,0,0,0,0,0,0,0.51176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycolicibacterium,0,0,0,0.4034,0,0,0,0,0.49013,0,0,0,0.89533,0,0,1.18882,0.33703,0,2.91384,3.38422,10.20199,0.11837,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Geodermatophilales|f__Geodermatophilaceae|g__Geodermatophilus,0.49928,2.51172,0.62439,1.36287,0.55031,1.8201,1.95836,1.61965,1.97039,0,1.53193,0.62544,0,0.48237,0,1.08741,0.35682,0,0.2494,0.29717,0,0.22907,0.41899,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0.45383,0,0,0,0.65798,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Knoellia,0,0,0,0,0,0,0,0,0,0.38563,0,0,0,0,0,1.40845,0,0,0.92804,0.11518,0.07128,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter,0,0,0,0,0,0,0,0.29365,0,0,0,0,0,0,0,0.1191,0.48142,0,0.48364,0.09909,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria,3.13119,23.96231,5.5902,11.79532,4.20736,1.69822,3.98888,4.57066,2.46609,0,1.68295,2.44975,0,0.89375,0,6.4709,0,0.2039,1.22986,0.28839,0.99741,3.00399,3.03932,0.6283
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter,0,0,0,0,0,0,0,0,0,0,0.7499,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium,0,0,0.12031,0.22396,0.31096,1.33121,4.71559,0.81534,0.74457,0.57656,1.22409,1.11014,2.49946,0.66041,1.14843,2.34173,2.24858,2.04715,3.57605,2.09962,0.39315,1.63647,3.03638,24.59542
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae|g__Promicromonospora,0,0,0,0.43028,0,0,0,0,0,0,0,0,0,0.3209,0,0,0,0,0.14614,0.7918,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioidaceae_unclassified,0,0,1.41986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Thermasporomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41852,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae|g__Saccharomonospora,0,0,0,0,0,0,0,0,0,0,0,6.63366,5.89436,3.49296,3.91534,6.78588,8.92022,13.02713,12.21005,9.81629,10.78952,2.883,10.93503,0.48827
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces,1.00835,0,0,0,0.35394,0,0,0,0,0,0,0,0,0,0,0.30327,0,0,0.89319,2.63707,2.07462,0,2.36153,1.27693
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Nocardiopsaceae|g__Thermobifida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36922,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17233,0,0,0,0.98172,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter,0.21877,0.18681,0.14974,0.33658,0.40965,0,0.32692,0.84203,0.68498,0.61472,0.79728,0.89589,0.7671,0.34615,0.86248,0.75707,0.84752,0.9142,0.59175,0.34868,0.42312,0.32798,0.54111,0.61983
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum,2.19683,3.29924,2.99424,1.73832,2.17155,5.61522,2.06507,2.4008,3.71205,1.18995,3.48804,3.66992,3.54136,3.81744,2.54817,2.28488,5.26728,5.20013,3.02742,1.12961,1.36196,1.73094,3.47103,2.1394
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Chryseobacterium,0.40122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40492
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix,0.58668,0,1.89265,1.01828,1.83372,0,0.64248,0.25384,0.31511,0.82207,0,0.31965,0.7122,0.30346,0,1.18058,0.36334,0,0.1237,0,0,0,0.32942,0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Nitrolancea,1.40226,4.11384,7.46706,3.10901,1.31837,1.63476,2.09837,5.12634,3.38001,0.97846,2.01667,0.43478,0.91485,2.17668,2.37664,0,1.68109,2.25213,0.61838,0.40149,0.19513,1.25977,0,0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67463,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,0,0.41194,0,0,1.39435,0,0,0,1.31183,0,0,0,0,0,0,0,2.11167,0,2.44866,1.11191,0.63941,2.8541,0.30347,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Quasibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88312,0,0,1.99609,1.07901,3.28221,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50469,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34492,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Melghirimyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08488,0,5.92475,1.59198,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Novibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81094,2.14159,0,0,1.62325,1.61758,1.68915,2.42499,0.56388,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Planifilum,0,0,0,0,0,0,0,0,0,0,0,0.7717,1.82663,0.4043,3.40205,4.61841,5.67653,2.93465,9.379,10.1675,19.73841,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.25717,0,0,0,0,9.19953,0.36983,0,0,0,0,0,0,0,0,0,0,0,0.18792,0.15272,0.87794,0,0,0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Fimbriiglobus,0,0.56571,0.95332,2.25845,0.94448,1.56376,0.7433,1.43115,2.08179,2.50883,0.82057,0.79141,1.77308,0.67958,4.02933,0.31206,1.70382,0.92009,0.31337,0.7745,0.70206,1.55469,2.67352,1.06869
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera,0.81515,0.68546,0.85524,0.69226,1.15476,0.62168,0,0.8536,1.07005,1.09281,0.96596,0.46042,1.54785,0,1.35405,1.20394,0.24694,0.7672,0.39663,0.68747,0.67364,0.35966,1.04292,0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera,0,0.75512,0,0,0,0,0,1.86608,0,0,0,0,0,0,0,0.32412,0,0,0,0.13493,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01181,0.39452,1.58699,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bosea,0.6533,2.83539,0,0,0,0.70722,0,0,0,0,1.2686,0,0,0,0,0,0,0,0,0,0,0,0,1.06263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium,0,0,0,0.61856,0,0,0,0,0.14258,0,0,0,0,0.14494,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Nitrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08891,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Aminobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8384,0,1.64895
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium,4.91951,4.33359,2.91012,4.91933,5.04332,6.19807,5.71847,8.77116,5.93632,5.24904,6.50287,4.32831,4.14303,11.98563,10.12453,4.06879,6.40486,10.05873,4.24479,2.2563,3.00871,4.7017,7.16887,4.99609
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Ensifer,2.23371,0,0.42114,0,0,0,0,0,0,0,4.41099,0,0,0,0,0.19794,0,0,0,0,0,0,0,0.38717
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14069,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Sinorhizobium,0.42596,0,3.60685,1.24749,0,0,0.67212,0,1.98879,0,0,0.3363,0,0,0,2.04761,0,0,0.07085,0.13036,0.70391,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales_unclassified|g__Methyloceanibacter,0,0,0,0,0.15867,0,0.38084,0.28651,0.08629,0,0.83699,1.37633,0.55692,2.5056,0.55683,5.15424,2.433,3.23207,6.07309,4.002,7.80561,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Starkeya,0,0,0,0,1.12525,0,0,4.46287,0,1.53262,0,0,0,1.25335,0,0.75378,0,0,1.00354,1.6247,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter,0,0,0,0,0,0,0,0,0,0,0,5.25252,0,0,0,0.76597,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Inquilinus,0,0,0,0,0,0,0,2.25489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Skermanella,0.44262,1.13439,4.40854,3.67695,2.19775,1.01736,1.29679,0.75656,1.79328,3.58214,1.43593,5.71707,3.25993,0.42329,0,1.99582,1.45256,2.60033,1.28975,0.29199,0,1.81255,1.58787,0.17618
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillales_unclassified|g__Rhodospirillales_unclassified,0.56006,0,0,0.2711,0,0.15776,0,0,0,0.28558,0.12087,0,0,0,0,0.33462,0,0,0,0,0,0.0611,0.11439,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium,21.03102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis,0,0,0,0,0,0,0,1.35539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingosinicella,0,0,0,0,0,0,0,1.27608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20894,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified|g__Rhizobacter,0,0,0.11176,0,0,0,0,0,0,3.39133,0,0,5.57017,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Ramlibacter,1.81065,1.14401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax,0,0,0,0,0,0,0,0,0,0,0,0,0.24204,0,0,1.66894,0,0,0,0,0,1.00772,0.23574,0.69916
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas,1.39027,4.65277,6.14588,24.77373,23.17325,19.82077,26.00641,28.24932,22.30397,15.09311,12.50999,12.74786,14.76345,22.11404,18.62196,8.73748,16.44382,14.02003,7.49119,6.75128,6.66799,11.32275,10.62989,7.04936
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosospira,0,0,0,3.57742,2.00092,1.24622,10.22342,5.33887,13.56935,1.42512,1.35879,2.47312,0.75752,4.24976,1.37289,2.07627,3.2937,0.7579,5.80835,2.74729,3.7574,2.83552,1.101,1.4881
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae|g__Thiobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2555
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Archangium,0,1.22458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3804,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae|g__Cystobacter,0,0,0,1.05265,0,0,0.36391,0,0,0,0,0.96246,0,0,0,0,0,0,1.38439,0.58516,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Nannocystaceae|g__Nannocystis,4.35139,16.69477,8.00388,7.30276,4.52643,6.94234,5.3778,8.41205,7.09508,6.92869,5.71412,5.57586,8.09892,6.39874,7.84712,7.86868,8.43489,9.78106,5.75218,3.37154,4.62884,10.99988,15.65736,18.5838
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Chondromyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17683,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae|g__Sorangium,7.3919,15.80578,19.24243,17.39566,29.96276,16.2195,15.1616,15.14348,17.35726,20.22266,10.40613,17.72469,20.84123,17.25521,31.19508,14.4598,21.34435,14.20323,13.17933,18.04285,9.14062,24.40721,21.21557,20.36416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter,0,0,0,0,0,0,0,0,0,0,2.88018,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Leclercia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22677
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea,26.5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter,0,0,0,0,0,0,0,0,0,0,10.02837,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Azotobacter,0,1.16433,2.28913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,1.34386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Lysobacter,9.61798,13.73884,30.79327,11.79563,17.16222,24.20628,17.37806,3.61969,11.50008,34.12066,28.14037,24.88888,21.39458,18.74654,8.83416,15.48473,9.95057,17.08006,7.71397,17.13684,2.94856,6.97536,10.6298,7.84037
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas,2.25956,0.77939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonadaceae_unclassified,0,0,0,0,0,0,0,0,0,0,1.10842,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Xanthomonas,4.48922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
