Bacteria genus,CK_7,CK_14,CK_24,0.5N_5,0.5N_10,0.5N_15,1N_6,1N_9,1N_13,0.5SS_4,0.5SS_8,0.5SS_12,1SS_2,1SS_20,1SS_22,2SS_1,2SS_17,2SS_21,4SS_11,4SS_16,4SS_19,CM_1_3,CM_1_8,CM_1_23
Pseudomonas,1.826074803,1.86923172,1.886490725,1.886490725,1.851258349,1.880813592,1.919078092,1.886490725,1.86923172,1.819543936,1.929418926,1.892094603,1.799340549,1.86332286,1.86923172,1.832508913,1.86923172,1.826074803,1.897627091,1.763427994,1.838849091,1.903089987,1.886490725,1.86923172
Klebsiella,1.447158031,1.462397998,1.51851394,1.51851394,1.51851394,1.531478917,1.544068044,1.531478917,1.505149978,1.462397998,1.579783597,1.531478917,1.51851394,1.505149978,1.491361694,1.531478917,1.531478917,1.447158031,1.531478917,1.414973348,1.491361694,1.531478917,1.51851394,1.51851394
Streptomyces,1.431363764,1.462397998,1.414973348,1.447158031,1.447158031,1.491361694,1.462397998,1.414973348,1.477121255,1.447158031,1.477121255,1.477121255,1.447158031,1.477121255,1.477121255,1.431363764,1.477121255,1.447158031,1.447158031,1.397940009,1.414973348,1.477121255,1.431363764,1.447158031
Salmonella,1.361727836,1.397940009,1.414973348,1.397940009,1.397940009,1.477121255,1.462397998,1.380211242,1.414973348,1.431363764,1.462397998,1.431363764,1.414973348,1.431363764,1.431363764,1.447158031,1.414973348,1.380211242,1.414973348,1.322219295,1.361727836,1.477121255,1.447158031,1.447158031
Empedobacter,1.278753601,1.278753601,1.361727836,1.414973348,1.380211242,1.51851394,1.342422681,1.230448921,1.322219295,1.414973348,1.505149978,1.491361694,1.361727836,1.447158031,1.531478917,1.462397998,1.380211242,1.301029996,1.361727836,1.204119983,1.230448921,1.477121255,1.414973348,1.491361694
Rhodobacter,1.342422681,1.397940009,1.361727836,1.361727836,1.301029996,1.447158031,1.397940009,1.230448921,1.342422681,1.255272505,1.447158031,1.447158031,1.397940009,1.380211242,1.397940009,1.361727836,1.397940009,1.322219295,1.397940009,1.342422681,1.361727836,1.380211242,1.342422681,1.397940009
Acinetobacter,1.380211242,1.414973348,1.380211242,1.322219295,1.380211242,1.397940009,1.342422681,1.414973348,1.397940009,1.342422681,1.431363764,1.322219295,1.322219295,1.342422681,1.342422681,1.431363764,1.361727836,1.146128036,1.361727836,1.041392685,1.255272505,1.447158031,1.361727836,1.380211242
Salinispora,1.204119983,1.204119983,1.322219295,1.301029996,1.278753601,1.397940009,1.361727836,1.322219295,1.255272505,1.278753601,1.431363764,1.447158031,1.397940009,1.361727836,1.414973348,1.301029996,1.380211242,1.397940009,1.380211242,1.322219295,1.301029996,1.361727836,1.397940009,1.301029996
Delftia,1.230448921,1.278753601,1.322219295,1.322219295,1.278753601,1.255272505,1.342422681,1.342422681,1.322219295,1.278753601,1.380211242,1.342422681,1.301029996,1.278753601,1.301029996,1.301029996,1.301029996,1.204119983,1.361727836,1.176091259,1.255272505,1.322219295,1.361727836,1.301029996
Flavobacterium,1.204119983,1.176091259,1.301029996,1.255272505,1.204119983,1.301029996,1.278753601,1.230448921,1.204119983,1.230448921,1.322219295,1.361727836,1.204119983,1.278753601,1.380211242,1.322219295,1.301029996,1.176091259,1.255272505,1.176091259,1.278753601,1.301029996,1.255272505,1.322219295
Natronospirillum,1.146128036,1,1.204119983,1.079181246,1.322219295,1.342422681,1.176091259,1.230448921,1.079181246,1.041392685,1.462397998,1.447158031,1.041392685,1.176091259,1.380211242,1.322219295,1.322219295,1.176091259,1.041392685,1.079181246,1.176091259,1.301029996,1.342422681,1.531478917
Burkholderia,1.146128036,1.176091259,1.230448921,1.230448921,1.113943352,1.204119983,1.230448921,1.230448921,1.204119983,1.176091259,1.278753601,1.230448921,1.204119983,1.176091259,1.176091259,1.204119983,1.230448921,1.176091259,1.230448921,1.079181246,1.176091259,1.176091259,1.255272505,1.176091259
Cronobacter,1.204119983,1.176091259,1.204119983,1.079181246,1.255272505,1.255272505,1.230448921,1.176091259,1.146128036,1.113943352,1.255272505,1.204119983,1.146128036,1.204119983,1.204119983,1.146128036,1.146128036,1.113943352,1.176091259,1.079181246,1.176091259,1.230448921,1.146128036,1.204119983
Emticicia,1.204119983,1.113943352,1.146128036,1.146128036,1.146128036,1.230448921,1.041392685,1.146128036,1.176091259,1.230448921,1.230448921,1.230448921,1,1.204119983,1.079181246,1.176091259,1.176091259,1.176091259,1.176091259,1.041392685,1.146128036,1.204119983,1.113943352,1.176091259
Mucilaginibacter,1.146128036,1.041392685,1.230448921,1.176091259,1.079181246,1.204119983,1.041392685,1,1.204119983,1.041392685,1.230448921,1.176091259,1.176091259,1.204119983,1.301029996,1.176091259,1.079181246,1.113943352,1.113943352,1.041392685,1.146128036,1.176091259,1.230448921,1.278753601
Paracoccus,1.079181246,1.041392685,1.079181246,1.041392685,1.041392685,1.146128036,1.041392685,0.954242509,1.146128036,1.079181246,1.113943352,1.113943352,1.113943352,1.146128036,1.146128036,1.146128036,1.204119983,1.146128036,1.204119983,1.079181246,1.113943352,1.146128036,1.176091259,1.176091259
Enterobacter,1.079181246,1.176091259,1.079181246,1.146128036,1.041392685,1.113943352,1.146128036,1.079181246,1.113943352,1.113943352,1.079181246,1,1.113943352,1.146128036,1.113943352,1.176091259,1.079181246,1.113943352,1.113943352,1.041392685,1.041392685,1.113943352,1.113943352,1
Escherichia,1.041392685,1.113943352,1.079181246,1.113943352,1,1.041392685,1.113943352,1,1.041392685,1.113943352,1.146128036,1.079181246,1.113943352,1.041392685,0.954242509,1.113943352,1.041392685,1.113943352,1.041392685,0.954242509,1,1.113943352,1.079181246,1.041392685
Raoultella,1.079181246,1.041392685,0.903089987,1.041392685,0.903089987,1.041392685,1.113943352,1,1,1.041392685,1.176091259,1.146128036,1.079181246,1.041392685,1.079181246,1.113943352,1.041392685,1,1.079181246,1.041392685,0.954242509,1.079181246,1.146128036,1
Nitrosospira,1.041392685,1.041392685,1.041392685,1.041392685,1.079181246,1.079181246,1.079181246,1,0.954242509,1,1.113943352,1.113943352,0.903089987,1,1.079181246,1.079181246,1.113943352,1,0.903089987,0.77815125,0.954242509,1.204119983,1.113943352,1.204119983
Parapedobacter,0.602059991,0.903089987,0.84509804,1.079181246,1,1.176091259,1,1,1.041392685,0.954242509,1.146128036,1.146128036,0.954242509,1.146128036,1.079181246,1.146128036,0.954242509,0.954242509,1.079181246,0.903089987,1.079181246,1.204119983,1.041392685,1.146128036
Bacillus,0.84509804,1.079181246,1,1,0.903089987,1.113943352,1.041392685,0.903089987,0.84509804,1.079181246,1.255272505,1.146128036,0.903089987,0.954242509,1,1.113943352,1,0.954242509,1.041392685,0.77815125,1.041392685,1.113943352,1.041392685,1
Pectobacterium,0.84509804,1,1.041392685,0.903089987,0.903089987,1,1.041392685,0.84509804,0.954242509,1.041392685,1.113943352,1.079181246,1,0.954242509,0.903089987,1.041392685,1.079181246,1.079181246,1.079181246,1.041392685,1.079181246,1.079181246,1.079181246,1.041392685
Pedobacter,0.903089987,0.77815125,0.954242509,1.113943352,0.954242509,1.079181246,1,0.903089987,1,1,1.113943352,1.079181246,1,1,1.079181246,1.113943352,1,0.954242509,1.041392685,0.903089987,0.954242509,0.954242509,1.079181246,1.079181246
Ruminococcus,0.954242509,0.954242509,0.954242509,0.954242509,0.954242509,1.041392685,1.041392685,0.954242509,1,1,1,1.041392685,0.954242509,1.041392685,1.041392685,0.903089987,0.903089987,1,0.954242509,0.954242509,1,0.954242509,1,0.954242509
Xanthomonas,0.954242509,0.954242509,0.954242509,1,1.041392685,1.041392685,0.954242509,1,0.954242509,0.954242509,1,0.903089987,1,0.954242509,0.954242509,1,1,0.903089987,1,0.77815125,0.954242509,1.079181246,1.079181246,1
Flectobacillus,0.954242509,0.954242509,0.954242509,1,1,1,0.84509804,0.903089987,0.954242509,1.041392685,0.954242509,1,0.84509804,1.041392685,0.77815125,1.041392685,0.954242509,0.954242509,1.041392685,0.954242509,1,1,0.954242509,0.903089987
Serratia,0.77815125,0.903089987,0.77815125,0.954242509,0.84509804,0.84509804,0.84509804,1,0.954242509,0.84509804,1,1,0.903089987,0.698970004,0.903089987,1,0.954242509,0.77815125,1,0.84509804,0.77815125,1,1,1
Citrobacter,0.903089987,0.954242509,0.954242509,0.903089987,0.903089987,0.954242509,0.954242509,0.903089987,0.903089987,0.84509804,0.903089987,0.77815125,0.954242509,0.903089987,0.84509804,0.954242509,0.903089987,0.903089987,0.954242509,0.84509804,0.903089987,0.903089987,0.903089987,0.903089987
Micromonospora,0.602059991,0.84509804,0.84509804,0.84509804,0.77815125,0.903089987,0.84509804,0.903089987,0.903089987,0.77815125,0.954242509,0.903089987,0.698970004,0.903089987,0.954242509,0.903089987,0.954242509,0.84509804,0.954242509,0.954242509,0.903089987,0.903089987,0.903089987,0.903089987
Prosthecochloris,0.84509804,0.77815125,0.84509804,0.602059991,0.698970004,0.84509804,0.77815125,0.84509804,0.84509804,0.954242509,1.041392685,0.954242509,0.903089987,0.954242509,0.954242509,1,1,0.84509804,0.698970004,0.477121255,0.84509804,0.954242509,0.903089987,1.041392685
Legionella,0.698970004,0.903089987,0.954242509,0.602059991,0.77815125,0.954242509,0.602059991,0.698970004,0.903089987,0.84509804,0.954242509,1,0.954242509,0.698970004,0.903089987,0.903089987,0.84509804,0.903089987,1,0.698970004,0.84509804,0.954242509,0.903089987,1
Streptococcus,0.84509804,0.84509804,0.903089987,0.77815125,0.84509804,0.903089987,0.903089987,0.77815125,0.84509804,0.84509804,0.903089987,0.903089987,0.84509804,0.903089987,0.903089987,0.903089987,0.903089987,0.903089987,0.84509804,0.77815125,0.903089987,0.903089987,0.903089987,0.84509804
Enterorhabdus,0.84509804,0.77815125,0.698970004,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.77815125,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.84509804,0.77815125
Paenibacillus,0.903089987,0.84509804,0.84509804,0.77815125,0.77815125,0.84509804,0.698970004,0.903089987,0.84509804,0.77815125,0.903089987,0.84509804,0.77815125,0.84509804,0.84509804,0.77815125,0.903089987,0.903089987,0.698970004,0.602059991,0.77815125,0.84509804,0.84509804,0.954242509
Dickeya,0.84509804,0.84509804,0.903089987,0.903089987,0.602059991,0.903089987,0.84509804,0.698970004,0.77815125,0.477121255,0.954242509,0.903089987,0.698970004,0.602059991,0.77815125,0.77815125,0.954242509,0.698970004,0.84509804,0.602059991,0.84509804,0.77815125,1,0.954242509
Desulfovibrio,0.698970004,0.77815125,0.698970004,0.954242509,0.602059991,0.77815125,0.77815125,0.84509804,0.698970004,0.698970004,0.954242509,0.698970004,0.602059991,0.903089987,1.041392685,0.698970004,0.84509804,0.602059991,0.698970004,0.77815125,0.77815125,0.84509804,0.77815125,1
Alicycliphilus,0.77815125,0.77815125,0.698970004,0.84509804,0.84509804,0.77815125,0.77815125,0.77815125,0.84509804,0.77815125,0.77815125,0.77815125,0.77815125,0.84509804,0.77815125,0.77815125,0.77815125,0.77815125,0.84509804,0.77815125,0.77815125,0.77815125,0.77815125,0.602059991
Chryseobacterium,0.301029996,0.602059991,0.77815125,0.698970004,0.477121255,0.84509804,0.77815125,0.477121255,0.698970004,0.77815125,0.903089987,0.84509804,0.84509804,0.77815125,0.84509804,0.954242509,0.903089987,0.954242509,0.698970004,0.698970004,0.77815125,0.903089987,0.84509804,0.84509804
Macromonas,0.77815125,0.77815125,0.77815125,0.77815125,0.698970004,0.77815125,0.77815125,0.77815125,0.77815125,0.698970004,0.77815125,0.77815125,0.77815125,0.77815125,0.77815125,0.77815125,0.77815125,0.77815125,0.77815125,0.698970004,0.77815125,0.77815125,0.77815125,0.698970004
Listeria,0.602059991,0.77815125,0.602059991,0.602059991,0.77815125,0.77815125,0.77815125,0.698970004,0.698970004,0.77815125,0.77815125,0.77815125,0.77815125,0.698970004,0.698970004,0.84509804,0.77815125,0.77815125,0.84509804,0.84509804,0.698970004,0.77815125,0.77815125,0.698970004
Halomonas,0.698970004,0.698970004,0.77815125,0.698970004,0.477121255,0.77815125,0.602059991,0.698970004,0.698970004,0.698970004,0.77815125,0.84509804,0.698970004,0.84509804,0.77815125,0.84509804,0.77815125,0.77815125,0.602059991,0.477121255,0.698970004,0.77815125,0.77815125,0.602059991
Aquabacterium,0.602059991,0.698970004,0.698970004,0.602059991,0.602059991,0.602059991,0.698970004,0.698970004,0.77815125,0.698970004,0.903089987,0.84509804,0.698970004,0.602059991,0.698970004,0.84509804,0.84509804,0.602059991,0.698970004,0.477121255,0.602059991,0.77815125,0.903089987,0.77815125
Sphingobacterium,0.602059991,0.602059991,0.477121255,0.602059991,0.77815125,0.903089987,0.602059991,0.602059991,0.698970004,0.698970004,0.77815125,0.602059991,0.698970004,0.602059991,0.77815125,0.698970004,0.698970004,0.602059991,0.698970004,0.477121255,0.698970004,0.77815125,0.84509804,0.84509804
Bacterium,0.477121255,0.602059991,0.698970004,0.698970004,0.698970004,0.698970004,0.602059991,0.698970004,0.602059991,0.698970004,0.698970004,0.698970004,0.698970004,0.77815125,0.602059991,0.698970004,0.602059991,0.602059991,0.84509804,0.602059991,0.698970004,0.77815125,0.602059991,0.77815125
Chlorobium,0.77815125,0.77815125,0.77815125,0.698970004,0.602059991,0.77815125,0.77815125,0.602059991,0.602059991,0.698970004,0.698970004,0.77815125,0.477121255,0.77815125,0.698970004,0.698970004,0.602059991,0.602059991,0.477121255,0.698970004,0.602059991,0.602059991,0.602059991,0.698970004
Pseudoxanthomonas,0.602059991,0.698970004,0.77815125,0.602059991,0.602059991,0.77815125,0.602059991,0.77815125,0.602059991,0.477121255,0.698970004,0.698970004,0.77815125,0.477121255,0.77815125,0.698970004,0.602059991,0.77815125,0.602059991,0.602059991,0.602059991,0.602059991,0.77815125,0.77815125
Corynebacterium,0.698970004,0.698970004,0.698970004,0.602059991,0.698970004,0.698970004,0.698970004,0.602059991,0.602059991,0.698970004,0.698970004,0.698970004,0.698970004,0.602059991,0.698970004,0.698970004,0.698970004,0.698970004,0.698970004,0.602059991,0.698970004,0.602059991,0.477121255,0.698970004
Chromobacterium,0.477121255,0.602059991,0.602059991,0.602059991,0.602059991,0.698970004,0.602059991,0.698970004,0.77815125,0.77815125,0.698970004,0.602059991,0.602059991,0.698970004,0.698970004,0.698970004,0.698970004,0.477121255,0.698970004,0.602059991,0.602059991,0.698970004,0.602059991,0.602059991
