Treatment,Lavidaviridae,Iridoviridae,Pithoviridae,Baculoviridae,Cruciviridae,Mimiviridae,Phycodnaviridae,Nanoviridae,Marseilleviridae,Inoviridae,Genomoviridae,Herpesviridae,Myoviridae,Podoviridae,Circoviridae,Siphoviridae,Unassigned Caudovirales,Microviridae,Unassigned
CK,3.30E-08,1.71E-05,1.18E-05,7.00E-07,1.53E-05,1.12E-05,7.27E-05,1.71E-06,2.31E-05,0.000705179,0.000276579,8.49352E-05,2.85E-03,0.00486214,0.000152985,0.018678669,0.072939385,0.050099409,0.849195396
CK,0.00E+00,6.99E-06,3.11E-05,1.97E-05,1.72E-05,1.27E-04,2.87E-04,1.84E-06,8.29E-06,0.001262268,0.000517815,6.81067E-05,5.96E-03,0.005833391,0.000364084,0.035841558,0.063064969,0.042434641,0.844153394
CK,0.00E+00,0.00E+00,2.29E-06,3.54E-06,1.56E-05,3.06E-05,5.93E-05,8.70E-06,8.19E-06,0.000967335,0.000737492,0.000121057,0.001770087,0.001675786,0.002112873,0.007050573,0.057820638,0.176580176,0.751035789
0.5N,0.00E+00,6.89E-07,2.62E-06,1.19E-05,1.98E-05,3.59E-05,4.41E-05,2.05E-06,1.18E-05,0.000621926,0.000273023,4.70893E-05,1.39E-03,0.007156336,0.005247126,0.02005892,0.058382116,0.121678306,0.78501899
0.5N,0.00E+00,4.41E-06,7.10E-06,7.33E-06,4.24E-05,5.56E-05,9.11E-05,4.01E-06,1.56E-05,0.000377412,0.000299618,8.05419E-05,1.41E-03,0.002195712,0.003389585,0.010187061,0.04973787,0.184818142,0.747280995
0.5N,0.00E+00,4.52E-08,5.47E-06,2.95E-05,6.22E-06,6.18E-05,1.08E-04,7.76E-06,0.000395797,0.000992542,0.000925534,0.000149035,0.003008846,0.004068435,0.001138265,0.028084057,0.056167013,0.184373699,0.720477834
1N,0.00E+00,4.44E-07,7.76E-06,8.00E-06,2.25E-05,6.11E-05,1.05E-04,3.21E-06,2.26E-05,0.000209874,0.000517804,0.000274365,0.003866194,0.004822676,0.010423911,0.025401066,0.084051944,0.078427326,0.791773953
1N,0.00E+00,1.44E-07,6.83E-06,1.31E-06,1.54E-05,6.43E-06,1.12E-04,9.13E-06,1.05E-05,0.000242122,0.00165198,4.82348E-05,7.36E-04,0.002632414,0.071674331,0.008696256,0.044259267,0.22544805,0.644449724
1N,0.00E+00,0.00E+00,8.12E-06,1.96E-05,1.85E-05,4.59E-05,9.72E-05,2.39E-05,1.45E-05,0.000247631,0.000793462,7.01864E-05,1.59E-03,0.002579418,0.012980972,0.014704362,0.052323759,0.255083062,0.65939796
0.5SS,0.00E+00,0.00E+00,1.20E-05,2.92E-05,3.12E-05,1.14E-04,1.33E-04,5.08E-04,3.70E-05,0.001683125,0.004952419,0.00049607,0.00199488,0.003896662,0.004837008,0.021973404,0.129664691,0.12294168,0.706694927
0.5SS,1.50E-08,1.05E-05,1.67E-05,9.43E-06,1.47E-05,1.18E-04,2.58E-04,1.67E-05,1.56E-05,0.000888417,0.000647145,0.00023678,0.003433023,0.003399203,0.0079948,0.026218992,0.109201576,0.22959181,0.617929134
0.5SS,0.00E+00,8.44E-07,6.35E-07,2.06E-05,1.41E-05,3.18E-05,2.36E-05,2.91E-06,5.19E-05,6.75E-05,6.33776E-05,6.86E-04,0.001187672,0.003079583,0.004538294,0.040885696,0.049243656,0.034294275,0.865807127
1SS,0.00E+00,6.55E-08,3.88E-05,1.56E-05,1.42E-05,5.16E-05,8.60E-05,3.19E-03,5.07E-05,0.001211522,0.002104784,0.000176794,0.003693923,0.004162118,0.003020081,0.035067198,0.147115432,0.086706265,0.713292753
1SS,0.00E+00,1.09E-06,1.13E-05,1.27E-05,2.19E-05,5.50E-05,1.92E-04,3.56E-06,6.22E-05,0.000686617,0.000227899,0.004756635,0.002968838,0.002686671,0.003005146,0.030896226,0.13587272,0.080298122,0.738241235
1SS,0.00E+00,3.21E-06,1.03E-05,2.99E-05,5.40E-05,3.74E-05,2.19E-04,9.56E-05,2.26E-05,0.001462515,0.002993005,0.000320075,0.002337702,0.003928495,0.003907327,0.027615846,0.122068437,0.270255644,0.564639058
2SS,0.00E+00,0.00E+00,1.33E-05,1.75E-05,3.78E-05,2.41E-05,1.15E-04,2.80E-04,1.05E-05,0.001222214,0.000752136,0.001589536,0.002028841,0.004299631,0.0011616,0.029201879,0.227864202,0.09349451,0.637887085
2SS,2.43E-05,8.96E-08,1.29E-05,6.07E-06,1.44E-05,3.19E-05,2.16E-04,2.73E-04,0.000349538,0.000399315,0.000221412,0.00271065,0.002596687,0.001697344,0.009796948,0.015528421,0.132543567,0.087741995,0.745835449
2SS,4.30E-06,0.00E+00,1.01E-05,1.32E-05,5.97E-06,2.45E-05,2.16E-04,2.04E-05,0.000133688,0.000498556,0.000226131,0.007707767,0.003345105,0.002111308,0.00465703,0.024717509,0.153662151,0.053889365,0.748756703
4SS,1.57E-08,4.26E-07,6.19E-05,1.61E-05,1.39E-05,6.62E-05,3.56E-04,1.43E-04,0.000159958,0.000225868,0.000245514,0.000953267,0.005210995,0.003431715,0.001427928,0.062154827,0.160740199,0.031084999,0.733706523
4SS,0,0,1.07E-05,5.02E-05,0,5.85E-05,0.000304395,9.38E-05,0.006545121,0.000416434,0.000168856,0.002101446,0.003724464,0.002857158,0.00047061,0.046240571,0.166144879,0.043127411,0.727685418
4SS,0,1.67E-06,5.09E-06,1.38E-05,1.30E-05,2.83E-05,0.000169711,1.02E-05,0.001146319,0.000374777,0.000354471,0.002065264,0.003534111,0.002674775,0.001590578,0.034325136,0.175682228,0.100613448,0.67739717
1CM,1.20E-08,0,3.12E-06,4.46E-05,8.86E-06,7.92E-05,0.000203035,1.81E-05,3.02E-05,0.000943113,0.002234763,0.002547978,0.002974243,0.002943127,0.005623385,0.029389165,0.128515274,0.119165742,0.705276057
1CM,2.66E-08,0,7.75E-06,1.35E-05,1.86E-05,5.29E-05,9.21E-05,0.000115322,2.40E-05,0.000545895,0.001564563,0.000106095,3.01E-03,2.48E-03,1.72E-02,2.26E-02,2.06E-01,1.72E-01,5.74E-01
1CM,0,1.52E-06,3.95E-06,1.98E-05,2.18E-05,1.06E-05,5.29E-05,0.000263043,3.27E-05,0.000911271,0.000769565,0.000348978,1.36E-03,1.22E-03,1.90E-03,1.19E-02,1.34E-01,1.35E-01,7.12E-01
